absence_rate,standby_workers,monte_carlo_runs,total_demand,mean_total_deficit,median_total_deficit,p90_total_deficit,mean_UDR,median_UDR,p90_UDR,mean_max_cell_deficit,mean_shortage_cells,mean_standby_workdays_used,mean_daily_standby_max,zero_deficit_rate,solve_success_rate,mean_runtime_seconds_per_recourse
0.01,0,200,17682,96.59,96.5,123.0,0.00546262,0.00545753,0.00695623,2.295,87.185,0.0,0.0,0.0,1.0,0.0
0.01,1,200,17682,65.055,64.0,88.2,0.00367917,0.0036195,0.00498812,2.13,59.37,8.0,1.0,0.0,1.0,0.041526
0.01,2,200,17682,39.965,39.0,60.1,0.00226021,0.00220563,0.00339894,1.97,36.76,15.87,2.0,0.0,1.0,0.034479
0.01,3,200,17682,21.09,19.0,37.0,0.00119274,0.00107454,0.00209252,1.73,19.38,22.99,3.0,0.0,1.0,0.026428
0.01,4,200,17682,9.52,7.0,20.0,0.0005384,0.00039588,0.00113109,1.385,8.71,27.975,4.0,0.08,1.0,0.017999
0.01,5,200,17682,4.0,2.0,10.0,0.00022622,0.00011311,0.00056555,0.925,3.7,30.455,4.915,0.285,1.0,0.011244
0.01,6,200,17682,1.595,0.0,6.0,9.02e-05,0.0,0.00033933,0.465,1.465,31.565,5.63,0.63,1.0,0.005579
0.01,7,200,17682,0.595,0.0,2.0,3.365e-05,0.0,0.00011311,0.22,0.545,32.02,6.0,0.815,1.0,0.002356
0.01,8,200,17682,0.185,0.0,0.0,1.046e-05,0.0,0.0,0.075,0.175,32.215,6.185,0.935,1.0,0.001228
0.01,9,200,17682,0.05,0.0,0.0,2.83e-06,0.0,0.0,0.025,0.05,32.28,6.25,0.975,1.0,0.000346
0.01,10,200,17682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.305,6.275,1.0,1.0,0.000136
0.01,11,200,17682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.305,6.275,1.0,1.0,0.0
0.01,12,200,17682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.305,6.275,1.0,1.0,0.0
0.03,0,200,17682,290.46,288.0,327.0,0.01642687,0.01628775,0.01849338,3.895,213.755,0.0,0.0,0.0,1.0,0.0
0.03,1,200,17682,252.5,251.5,288.0,0.01428006,0.0142235,0.01628775,3.785,189.565,8.0,1.0,0.0,1.0,0.057576
0.03,2,200,17682,218.59,219.0,253.1,0.01236229,0.01238548,0.01431399,3.73,166.16,16.0,2.0,0.0,1.0,0.048669
0.03,3,200,17682,187.53,188.0,220.2,0.0106057,0.01063228,0.01245334,3.585,143.965,24.0,3.0,0.0,1.0,0.049214
0.03,4,200,17682,159.185,159.0,192.0,0.00900266,0.0089922,0.0108585,3.495,123.29,32.0,4.0,0.0,1.0,0.050436
0.03,5,200,17682,132.99,132.0,165.0,0.00752121,0.00746522,0.00933152,3.425,104.03,40.0,5.0,0.0,1.0,0.050371
0.03,6,200,17682,108.53,107.5,140.0,0.00613788,0.00607963,0.00791766,3.31,85.195,48.0,6.0,0.0,1.0,0.050574
0.03,7,200,17682,86.37,85.5,115.1,0.00488463,0.00483543,0.00650944,3.165,68.055,56.0,7.0,0.0,1.0,0.0501
0.03,8,200,17682,66.855,67.0,93.0,0.00378096,0.00378916,0.00525959,2.975,52.95,64.0,8.0,0.0,1.0,0.048112
0.03,9,200,17682,49.18,49.0,74.0,0.00278136,0.00277118,0.00418505,2.815,39.03,71.955,9.0,0.0,1.0,0.043924
0.03,10,200,17682,33.42,32.5,56.0,0.00189006,0.00183803,0.00316706,2.555,26.635,79.47,10.0,0.0,1.0,0.038071
0.03,11,200,17682,20.44,18.0,40.0,0.00115598,0.00101798,0.00226219,2.22,16.315,85.835,10.995,0.03,1.0,0.031726
0.03,12,200,17682,11.25,8.0,24.0,0.00063624,0.00045244,0.00135731,1.795,9.02,90.415,11.955,0.12,1.0,0.02555
0.03,13,200,17682,5.915,4.0,16.1,0.00033452,0.00022622,0.00091053,1.255,4.745,93.115,12.825,0.3,1.0,0.018917
0.03,14,200,17682,3.07,0.0,8.2,0.00017362,0.0,0.00046375,0.845,2.435,94.54,13.52,0.55,1.0,0.014931
0.03,15,200,17682,1.65,0.0,6.0,9.332e-05,0.0,0.00033933,0.56,1.265,95.25,13.97,0.695,1.0,0.008322
0.03,16,200,17682,0.84,0.0,4.0,4.751e-05,0.0,0.00022622,0.32,0.685,95.65,14.275,0.805,1.0,0.004635
0.03,17,200,17682,0.33,0.0,0.0,1.866e-05,0.0,0.0,0.13,0.28,95.905,14.47,0.91,1.0,0.003188
0.03,18,200,17682,0.12,0.0,0.0,6.79e-06,0.0,0.0,0.055,0.1,96.01,14.56,0.965,1.0,0.001824
0.03,19,200,17682,0.04,0.0,0.0,2.26e-06,0.0,0.0,0.01,0.04,96.05,14.595,0.99,1.0,0.001134
0.03,20,200,17682,0.02,0.0,0.0,1.13e-06,0.0,0.0,0.005,0.02,96.06,14.605,0.995,1.0,0.000112
0.03,21,200,17682,0.01,0.0,0.0,5.7e-07,0.0,0.0,0.005,0.01,96.065,14.61,0.995,1.0,5.8e-05
0.03,22,200,17682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07,14.615,1.0,1.0,6.4e-05
0.03,23,200,17682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07,14.615,1.0,1.0,0.0
0.03,24,200,17682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.07,14.615,1.0,1.0,0.0
0.05,0,200,17682,490.88,489.0,546.0,0.02776157,0.02765524,0.03087886,5.175,300.405,0.0,0.0,0.0,1.0,0.0
0.05,1,200,17682,449.48,449.5,503.1,0.0254202,0.02542133,0.02845266,5.05,280.885,8.0,1.0,0.0,1.0,0.075596
0.05,2,200,17682,412.41,412.0,464.1,0.02332372,0.02330053,0.02624703,4.975,261.38,16.0,2.0,0.0,1.0,0.060004
0.05,3,200,17682,377.68,377.5,428.1,0.02135957,0.02134939,0.02421106,4.925,241.82,24.0,3.0,0.0,1.0,0.060123
0.05,4,200,17682,344.495,344.5,394.0,0.01948281,0.01948309,0.02228255,4.83,222.875,32.0,4.0,0.0,1.0,0.060654
0.05,5,200,17682,312.51,312.5,361.0,0.01767391,0.01767334,0.02041624,4.755,204.645,40.0,5.0,0.0,1.0,0.063092
0.05,6,200,17682,282.295,282.0,329.1,0.01596511,0.01594842,0.01861215,4.61,186.93,48.0,6.0,0.0,1.0,0.064372
0.05,7,200,17682,253.995,254.0,297.1,0.01436461,0.01436489,0.0168024,4.52,169.47,56.0,7.0,0.0,1.0,0.065691
0.05,8,200,17682,227.24,227.0,269.2,0.01285149,0.01283791,0.01522452,4.455,152.835,64.0,8.0,0.0,1.0,0.070037
0.05,9,200,17682,201.52,201.0,243.1,0.0113969,0.01136749,0.01374844,4.38,136.59,72.0,9.0,0.0,1.0,0.068569
0.05,10,200,17682,176.875,177.0,218.0,0.01000311,0.01001018,0.01232892,4.295,120.79,80.0,10.0,0.0,1.0,0.0706
0.05,11,200,17682,153.99,153.0,193.2,0.00870886,0.00865287,0.01092637,4.245,105.585,88.0,11.0,0.0,1.0,0.070548
0.05,12,200,17682,133.115,132.0,170.0,0.00752828,0.00746522,0.0096143,4.17,91.57,96.0,12.0,0.0,1.0,0.070966
0.05,13,200,17682,114.25,113.0,149.0,0.00646137,0.00639068,0.00842665,4.065,78.7,104.0,12.995,0.0,1.0,0.068741
0.05,14,200,17682,96.57,95.0,130.0,0.00546149,0.0053727,0.00735211,3.98,66.9,112.0,14.0,0.0,1.0,0.068696
0.05,15,200,17682,79.665,78.5,113.0,0.00450543,0.00443954,0.00639068,3.825,55.605,120.0,15.0,0.0,1.0,0.066935
0.05,16,200,17682,63.235,62.0,96.1,0.00357624,0.00350639,0.00543491,3.635,44.21,127.945,16.0,0.0,1.0,0.065621
0.05,17,200,17682,47.755,45.5,79.1,0.00270077,0.00257324,0.00447348,3.34,33.67,135.59,16.995,0.01,1.0,0.057313
0.05,18,200,17682,33.51,30.5,63.0,0.00189515,0.00172492,0.00356295,3.015,23.675,142.68,17.98,0.025,1.0,0.051856
0.05,19,200,17682,21.84,17.0,46.1,0.00123515,0.00096143,0.00260717,2.575,15.51,148.56,18.945,0.095,1.0,0.045258
0.05,20,200,17682,13.135,9.0,30.1,0.00074285,0.00050899,0.0017023,2.03,9.35,153.0,19.82,0.22,1.0,0.039138
0.05,21,200,17682,7.515,4.0,18.0,0.00042501,0.00022622,0.00101798,1.61,5.26,155.87,20.575,0.345,1.0,0.027698
0.05,22,200,17682,4.17,2.0,12.0,0.00023583,0.00011311,0.00067866,1.155,2.87,157.595,21.215,0.465,1.0,0.023799
0.05,23,200,17682,2.41,0.0,8.2,0.0001363,0.0,0.00046375,0.78,1.64,158.485,21.735,0.63,1.0,0.017215
0.05,24,200,17682,1.305,0.0,4.0,7.38e-05,0.0,0.00022622,0.52,0.855,159.04,22.105,0.77,1.0,0.011305
0.05,25,200,17682,0.745,0.0,2.0,4.213e-05,0.0,0.00011311,0.34,0.47,159.325,22.335,0.85,1.0,0.007387
0.05,26,200,17682,0.43,0.0,0.0,2.432e-05,0.0,0.0,0.195,0.275,159.485,22.485,0.92,1.0,0.005222
0.05,27,200,17682,0.27,0.0,0.0,1.527e-05,0.0,0.0,0.13,0.17,159.565,22.565,0.945,1.0,0.00156
0.05,28,200,17682,0.16,0.0,0.0,9.05e-06,0.0,0.0,0.08,0.095,159.62,22.62,0.975,1.0,0.001142
0.05,29,200,17682,0.11,0.0,0.0,6.22e-06,0.0,0.0,0.06,0.065,159.645,22.645,0.975,1.0,0.000499
0.05,30,200,17682,0.06,0.0,0.0,3.39e-06,0.0,0.0,0.035,0.035,159.67,22.67,0.985,1.0,0.000504
